Phase,Arabinose,IPTG,eno,lhgO,yibQ,ycaC,dksA,ligB,glnL,tyrR
stationary phase,off,off,134.1360035,21.53610316,0.858889662,21.28466184,46.63377145,0.272616349,1.424886075,2.897822782
stationary phase,off,off,117.1089877,21.71916686,0.862315199,20.03736078,54.88916563,0.23146974,1.484051704,3.094781947
stationary phase,off,off,140.7635448,22.76495194,1.008220643,19.35965245,45.02345063,0.257103136,1.539951127,2.739664791
stationary phase,on,off,81.20319396,22.66393868,0.21988179,6.192159784,43.64570877,0.232927998,1.02671334,4.292522779
stationary phase,on,off,74.74695033,16.63606997,0.118018631,8.432591211,48.69821424,0.224396685,0.971124739,4.628901965
stationary phase,on,off,85.65118001,22.48627504,0.34227688,7.116187155,44.27792323,0.164411073,1.23528498,3.499173016
stationary phase,off,on,115.4860776,20.47941691,0.824202522,16.09294758,51.78657193,0.218103099,1.662485676,3.332649293
stationary phase,off,on,129.5192941,21.41430507,0.530094279,15.09627344,48.08513106,0.170083726,1.890164744,3.180565675
stationary phase,off,on,111.3524053,21.66847851,0.643395625,15.94408012,56.68904918,0.163110794,1.851890052,3.011599638
stationary phase,off,on,131.3120347,20.35867895,0.805361606,19.2650223,46.85740254,0.161083508,1.558725839,3.425096405
stationary phase,on,on,73.57519219,4.907082097,0.483898871,3.880893198,46.27965139,0.216873443,2.370116917,4.117219963
stationary phase,on,on,86.10339081,4.366390259,0.473442587,5.170158279,39.86884941,0.210485118,2.30435249,4.204525605
stationary phase,on,on,80.96670997,4.442110805,0.420788713,4.451318616,45.5015546,0.250932177,2.203402715,3.488959119
stationary phase,on,on,84.76753798,4.368542067,0.299296742,5.512518653,41.25291312,0.23599785,2.342059881,4.258247989
log phase,off,off,184.7954054,4.433764311,0.325604567,75.41811879,92.43056792,0.163440724,1.417031074,7.338138715
log phase,off,off,185.4455027,4.165060826,0.466156801,51.33089859,89.49149617,0.093424497,1.854548136,7.890692883
log phase,off,off,159.4924273,4.856513352,0.44148447,33.32070798,113.4574083,0.222200425,1.894747466,8.989347321
log phase,off,off,200.8849829,4.952469981,0.336601014,91.48342925,67.42866719,0.203755716,1.742867059,7.167706501
log phase,on,off,194.0009658,3.512209167,0.567047511,44.06149077,112.663387,0.181940378,1.425719455,9.553757667
log phase,on,off,194.836015,4.001024397,0.713720799,30.54175127,128.7586996,0.114826876,1.589532035,9.809655516
log phase,on,off,214.4531315,4.359454698,0.482479983,32.78612432,93.47158039,0.228827455,1.615804553,10.70218354
log phase,on,off,197.5259154,2.611419202,0.38007439,72.02265284,72.10823109,0.198944255,1.49219122,10.48097106
log phase,off,on,186.4806449,3.059418473,0.347226614,62.63956382,97.95445521,0.291266951,1.363229192,9.562441325
log phase,off,on,190.6765616,2.88377199,0.758507438,58.66311974,109.9784604,0.244064736,1.422548748,9.359692701
log phase,off,on,208.9489231,4.380685022,0.423280911,49.21850121,84.53241577,0.197849663,1.682373651,10.22242614
log phase,off,on,204.1934126,4.164179718,0.33935422,56.0540964,83.22058127,0.213497464,1.638025747,8.544052226
log phase,on,on,180.7824428,2.917328792,0.439887148,56.44025722,115.1732596,0.242552153,1.260171944,10.71704304
log phase,on,on,200.0264183,3.540182359,0.438317,40.06905756,103.2419732,0.220606228,1.50869448,10.50596388
log phase,on,on,216.7968501,4.147711776,0.61320303,32.56872159,93.51278406,0.14696518,1.53116723,11.32770441
log phase,on,on,221.9219499,3.316593215,0.633907215,48.31392176,81.78396341,0.24289814,1.566172504,9.652365663
stationary phase,off,off,137.4560985,18.94286213,0.999086452,20.45223277,43.20955744,0.206416447,1.589547669,3.168768329
stationary phase,off,off,140.9723567,19.39620105,0.911140039,19.95990251,47.12307628,0.232603468,1.636957289,2.697396975
stationary phase,off,off,114.0191089,23.60287887,0.851056583,16.86593312,54.96794458,0.183189121,1.717712048,3.4189719
stationary phase,on,off,77.39073735,18.88972268,0.428854804,7.799035127,41.05213765,0.204684602,0.82420142,5.606817674
stationary phase,on,off,79.28228302,22.56482041,0.343789962,7.193818671,41.97856383,0.233453841,1.017805385,4.555838079
stationary phase,on,off,76.4601762,25.28482997,0.316128315,6.006300484,51.76033947,0.180322747,1.051024009,3.318955925
stationary phase,on,off,88.13181712,19.8661028,0.173537895,7.238637432,43.9892643,0.222053595,0.947691112,3.58865197
stationary phase,off,on,115.1356963,22.45131504,0.866310476,13.19571227,46.51659505,0.163019264,1.739255435,3.647476736
stationary phase,off,on,113.598597,22.18430056,0.922015177,14.57532225,45.32558544,0.157094976,1.675022748,3.220460307
stationary phase,off,on,112.9264859,20.45789215,0.670086489,15.11473284,57.25964626,0.170635724,1.465985136,3.151157143
stationary phase,off,on,131.1765515,22.29627161,0.770260787,16.00883405,44.6159591,0.17812072,1.732045878,3.006844086
stationary phase,on,on,78.57254292,4.579105779,0.424380456,4.799171916,41.5837987,0.229330277,1.974060467,3.786948816
stationary phase,on,on,83.2498959,3.891200225,0.339244512,3.972841455,39.782813,0.308567538,2.062187487,3.681778694
stationary phase,on,on,79.79716098,4.213598606,0.49067732,4.304610031,47.90909136,0.204242041,2.267346009,3.789603782
stationary phase,on,on,91.9042543,5.000548732,0.382354622,4.718866957,40.16248068,0.214794364,2.129268335,3.877195787
log phase,off,off,169.084425,4.975668016,0.36783338,34.38140031,108.2296713,0.169850912,1.825654655,8.249500159
log phase,off,off,202.1762673,4.533688906,0.135561999,49.1914927,74.404511,0.19009288,2.406548242,9.22032582
log phase,off,off,212.4905278,3.991931536,0.399356799,49.93552315,86.88882937,0.209573336,1.952208168,9.033440425
log phase,off,off,202.3664608,4.623322606,0.396112796,44.2544063,86.62195951,0.179322772,2.046492959,8.4237884
log phase,on,off,183.2187825,4.160558936,0.653093988,38.34028467,108.8188459,0.225479489,1.877767977,11.01552751
log phase,on,off,208.2082592,4.753644624,0.514750616,30.68920468,78.36896418,0.239908117,2.215400562,11.85338232
log phase,on,off,191.3847579,4.101072305,0.713303283,37.83841576,98.8459303,0.172139556,1.785923298,11.2078926
log phase,on,off,156.431739,3.201188449,0.485699185,53.47179701,99.54907304,0.258071796,1.80668691,10.09040639
log phase,off,on,221.5098983,4.709408062,0.483751671,30.56957061,80.04405647,0.281511263,1.760213874,11.20407126
log phase,off,on,207.7809436,4.313525092,0.433058809,45.60020722,84.60877841,0.194622659,2.087680906,9.281071698
log phase,off,on,190.5884363,3.522747453,0.205177263,74.48015737,103.4243649,0.254424258,1.794345255,9.102636676
log phase,on,on,155.6800284,2.815129516,0.526360925,53.37757788,110.9674488,0.202488471,1.902593642,10.40242747
log phase,on,on,197.9694542,4.560057588,0.522365776,24.80415278,81.42249918,0.239154235,2.155446149,11.37373117
log phase,on,on,167.6803046,2.572044163,0.621139391,22.03378977,104.1587096,0.246148118,1.98465711,9.199426739
log phase,on,on,181.5295955,3.016966509,0.550498059,40.81353392,106.5455191,0.293075615,1.532306978,11.60686958
stationary phase,off,off,125.2915608,20.22471269,0.777353292,22.23353884,46.1941034,0.223990658,1.348175607,2.749065997
stationary phase,off,off,120.7532658,21.49021517,0.787941876,19.0063777,54.27559,0.299633274,1.541917336,2.590434894
stationary phase,off,off,142.3977261,22.19614681,0.901351076,21.63678807,41.35418366,0.147741279,0.966177311,2.72836177
stationary phase,off,off,133.2910156,20.62294548,0.79632783,21.79762219,46.19632794,0.222069635,1.415693921,3.189442724
stationary phase,on,off,60.12152814,5.805541322,0.424837923,6.83685014,29.30572909,0.732151372,0.727260542,12.08215278
stationary phase,on,off,63.10298281,7.813884568,0.483880081,7.95009453,30.24740267,0.690025072,0.612560279,7.994666417
stationary phase,on,off,68.71767725,7.08373081,0.302058279,7.322624957,26.44334763,0.531249262,0.529321175,12.59947376
stationary phase,on,off,61.34945044,6.947515216,0.479673385,6.716957444,29.45362888,0.638424469,0.7126576,11.03684286
stationary phase,off,on,140.1766571,18.39394875,0.576770965,18.02064308,47.24209551,0.210763009,1.680875384,2.990456464
stationary phase,off,on,109.8069133,21.79118469,0.759394715,14.26961796,53.81165421,0.236272541,1.861996392,3.148251171
stationary phase,off,on,134.2653078,21.31310571,0.73218646,17.88807528,45.57316181,0.127109794,1.891860667,2.725106093
stationary phase,on,on,67.9338476,8.404348958,0.335064996,8.080036271,29.62679966,0.459893132,0.593543707,11.6164557
stationary phase,on,on,52.79204445,7.710264414,0.293132909,6.594141855,39.92304077,0.411583846,1.030797044,10.55664521
stationary phase,on,on,65.44784741,7.937385381,0.247335477,7.354664608,32.44822217,0.386120869,0.571289163,11.2731894
stationary phase,on,on,63.89852211,8.685054398,0.499504905,6.846123716,30.8522724,0.468743606,0.832354717,13.34186567
log phase,off,off,161.0155509,5.134154415,0.404361165,34.88811191,125.5302712,0.205716332,2.078322715,8.137401679
log phase,off,off,202.4054878,4.582828497,0.214439873,47.90525207,71.87968121,0.152898305,2.07087649,9.157500425
log phase,off,off,223.8744727,4.380038235,0.398523041,46.50023106,84.31117036,0.231610606,1.58807672,9.40936861
log phase,off,off,200.1278657,4.645836972,0.325558425,50.00486781,82.40210857,0.185701775,1.88739326,8.369857213
log phase,on,off,178.9935693,4.279938299,0.49555125,39.5049979,103.8744971,0.179022674,1.827404229,10.63860479
log phase,on,off,203.6918217,4.766387824,0.504875445,30.46526377,74.08237239,0.236700816,1.991837371,11.2724389
log phase,on,off,187.4191395,3.710323928,0.452556811,41.58325839,90.32081202,0.174246473,1.644720754,11.10084879
log phase,on,off,146.070488,2.999191193,0.411545591,52.08972582,98.65542024,0.297349637,1.429826967,10.00093151
log phase,off,on,179.1507628,2.982972169,0.313879907,65.68950787,102.3413698,0.246180319,1.632175518,8.909548341
log phase,off,on,218.6488977,4.969320776,0.575150217,32.64446998,69.97395439,0.172669171,1.559103947,11.23837792
log phase,off,on,220.0750007,4.312146411,0.466300247,45.54524769,85.44042276,0.100889844,1.82293535,9.319748396
log phase,off,on,181.3553443,3.459517235,0.322171774,72.92283596,97.68775716,0.183769996,1.832799425,8.713820221
log phase,on,on,151.272571,2.865564519,0.467526415,50.97001191,101.8012405,0.29933664,1.666193265,9.914099413
log phase,on,on,192.1154139,4.586926878,0.560622131,30.79563186,75.93592713,0.157432349,1.766390959,11.45340441
log phase,on,on,171.7359043,3.27350107,0.722339776,21.48750994,112.8225935,0.149115553,1.805161497,9.700794319
log phase,on,on,146.9978261,2.628900706,0.527859968,55.57767724,99.0154171,0.235858999,1.681108316,10.40110069
stationary phase,off,off,134.4571544,19.48586945,0.839844869,21.83581496,46.22065805,0.271163715,1.521228442,2.668562216
stationary phase,off,off,116.2514896,20.41478392,0.817309021,17.89923515,57.18090556,0.183150481,1.574570848,2.934861743
stationary phase,off,off,138.9107494,24.11909956,0.856543023,20.03609409,50.19041571,0.190003602,1.653263993,2.399653604
stationary phase,off,off,140.473709,20.31463734,0.803419133,19.2807221,42.72645456,0.28393329,1.620810772,2.843432288
stationary phase,on,off,60.22810747,6.496240395,0.337884768,7.12913597,27.23897748,0.686316959,0.474686894,14.54023625
stationary phase,on,off,55.62803441,7.760720511,0.267797453,7.065042849,28.70962167,0.528765024,0.734530156,10.60609367
stationary phase,on,off,64.17257822,5.713857688,0.291702286,6.986499054,25.26624316,0.522939673,0.409573823,14.70348156
stationary phase,on,off,59.42369071,6.685191916,0.380695178,6.572931096,25.54451854,0.540570693,0.6146665,14.7348795
stationary phase,off,on,130.4651763,20.36652785,0.8161199,14.05756765,49.31291871,0.187344597,1.728922993,3.327371252
stationary phase,off,on,108.5418122,21.47243104,0.595743535,14.33078335,57.35860565,0.158581761,1.682455394,3.527584722
stationary phase,off,on,133.9949515,20.89402636,1.088343813,16.42783114,44.2686818,0.099562613,1.708494438,2.97235077
stationary phase,off,on,120.9620044,19.40611884,0.812905286,14.18889227,49.45142823,0.173379474,1.74496936,3.282976653
stationary phase,on,on,63.9530276,8.660985122,0.313664102,7.377192905,28.0830257,0.387653792,0.557625069,13.67483269
stationary phase,on,on,47.81311125,7.535862659,0.279620167,5.726192896,36.0562847,0.398745336,0.415435677,12.66450874
stationary phase,on,on,62.08584927,7.903397086,0.222283043,6.346296619,28.07785807,0.358002259,0.585781196,12.35708526
stationary phase,on,on,56.60437707,8.52533044,0.298423697,5.963964887,28.78424686,0.443477939,0.646210712,14.15908295
log phase,off,off,179.3921981,4.267954698,0.293711199,62.32111313,93.47230092,0.237342383,1.991641655,7.436112331
log phase,off,off,194.7797862,5.195203249,0.46044772,43.08187238,84.18095552,0.192178519,1.781467418,9.728962749
log phase,off,off,195.0626504,4.478264895,0.204277681,82.99043328,72.77135028,0.156189102,2.01471191,7.094840022
log phase,off,off,182.7436732,3.973916806,0.273594858,54.30635394,92.66513851,0.156061238,1.700978319,7.392384029
log phase,on,off,207.682874,3.663018215,0.568315986,34.97998491,98.20500242,0.155603094,1.57959369,10.37386753
log phase,on,off,223.4890827,4.349554056,0.535009315,34.41534878,87.31352015,0.191242783,1.408755955,11.04936488
log phase,on,off,192.9075291,2.82943826,0.442824482,64.84371625,81.52273214,0.235104401,1.597671801,9.812386124
log phase,on,off,194.6048744,4.265601357,0.52163184,29.09443482,119.0209592,0.141687623,1.725998142,10.84050902
log phase,off,on,197.2085445,2.907342364,0.167093182,62.29617581,109.3434332,0.317705397,1.604094548,9.795864887
log phase,off,on,196.832154,4.498876475,0.415547912,44.43822094,82.79852898,0.194893534,2.228919848,9.572154237
log phase,off,on,209.347491,5.168394324,0.41643641,50.70353693,84.53246179,0.206556074,1.749205359,8.735935515
log phase,off,on,191.0859831,2.692423026,0.288982423,67.41710324,120.0757992,0.329676918,1.404498033,9.298570213
log phase,on,on,192.3559338,3.213925755,0.564364177,42.84487211,100.892473,0.286150187,1.676967839,10.4528151
log phase,on,on,208.667517,3.302078648,0.568253368,43.43572304,73.2254774,0.199469165,1.741335282,10.43057279
log phase,on,on,225.0544711,3.347751619,0.561358663,40.00109343,79.39677508,0.18230626,1.603413609,10.08401623
log phase,on,on,203.212651,3.729734413,0.634795195,36.70675371,108.2938328,0.193116542,1.450960445,10.45971226
stationary phase,off,off,143.5156235,18.29307792,0.772216845,21.80457846,46.12506983,0.215118236,1.699390161,3.314991145
stationary phase,off,off,122.51113,20.34524407,0.670670063,16.17309625,53.44181446,0.124330992,1.257027317,3.329863813
stationary phase,off,off,139.6943223,24.12767205,0.636225855,19.56369137,41.62132496,0.12096986,1.70198832,2.541602639
stationary phase,off,off,137.2432635,20.57722752,0.680885997,21.41144628,46.45829418,0.229047074,1.620159499,3.222710932
stationary phase,on,off,76.74825481,18.72993176,0.418063146,8.392378735,41.30105312,0.14131401,1.019277766,5.012660868
stationary phase,on,off,75.57459065,17.8290093,0.32417774,5.881732003,50.02574382,0.212651351,1.155925197,3.219072341
stationary phase,on,off,107.4402166,4.917146399,0.328087813,5.00439802,40.60860476,0.162427357,2.756291362,3.799951058
stationary phase,on,off,73.6648726,20.17182817,0.28059087,7.459640692,42.65697239,0.227952611,1.173865872,4.64243731
stationary phase,off,on,115.1737408,21.2919026,0.797910238,15.17456085,44.71833775,0.201218005,1.766201308,3.236740935
stationary phase,off,on,115.996112,21.44369196,0.444922678,14.81107011,55.11300274,0.188294573,1.942077239,3.475836262
stationary phase,off,on,109.516542,23.29202941,0.794697315,12.72666694,46.39314055,0.0918858,1.570984653,3.543502592
stationary phase,on,on,86.61356628,4.030053105,0.376334678,4.148684685,39.05077506,0.243287065,2.622634559,3.837214465
stationary phase,on,on,83.86291015,4.061103724,0.399179162,4.657639055,43.4677853,0.188437886,2.114273077,3.205002151
stationary phase,on,on,100.3802616,4.648372988,0.25382861,4.744305802,39.44299986,0.16664092,2.141191421,3.810503937
stationary phase,on,on,80.79636925,4.476279994,0.297392367,4.521973365,41.42983323,0.298324632,2.362731083,4.200921565
log phase,off,off,186.8136019,3.803437997,0.453624325,51.0779543,96.85277255,0.204845209,1.728092667,7.68396068
log phase,off,off,181.6221681,5.160164008,0.445930941,36.43099583,95.83893306,0.263784329,1.942906166,9.226659693
log phase,off,off,220.4705552,5.792641389,0.337175544,63.74850352,80.23518546,0.241961405,1.670650437,9.012790741
log phase,off,off,183.1148907,3.72340568,0.444254921,58.72980688,89.02327135,0.206727123,1.710214431,7.23472277
log phase,on,off,173.7647416,3.447307427,0.555720671,26.24916013,136.765782,0.206042602,1.397240545,9.998647409
log phase,on,off,214.0256531,4.217466407,0.566162087,33.28531094,88.12911884,0.194425774,1.690233169,10.57423353
log phase,on,off,189.8752435,2.891033386,0.449598207,65.09884778,80.34685655,0.203998538,1.653587171,10.35650344
log phase,on,off,195.0880813,4.180359956,0.606817584,30.8777055,119.025944,0.265124533,1.369305089,10.38507583
log phase,off,on,184.4054564,2.841586558,0.464003923,51.28675847,101.7785045,0.239465567,1.636324037,8.679977029
log phase,off,on,196.6220049,4.567519266,0.546596243,47.13539615,81.59593999,0.175602456,1.843887226,9.700317055
log phase,off,on,204.4440223,4.907624726,0.438699336,45.96057735,85.73108607,0.200190784,2.030551213,8.845680779
log phase,on,on,193.1944524,3.690835881,0.399176483,36.90843908,99.44396593,0.265643292,1.581499209,10.28574076
log phase,on,on,201.5355977,3.872362959,0.621291209,38.69857393,79.87947155,0.172491052,1.673951739,10.44349426
log phase,on,on,217.9885301,3.808800884,0.550894647,39.67535837,82.6525479,0.214794095,1.600284196,10.17620688
log phase,on,on,194.2598022,2.964375672,1.169240011,38.4656225,104.6494758,0.144204578,1.878007122,11.33212319
stationary phase,off,off,141.9685522,20.17616524,0.844837757,19.92292135,44.93595255,0.226778301,1.340381249,3.001117417
stationary phase,off,off,116.3543852,22.12082772,0.692453362,15.49402905,54.21980154,0.145519798,1.799337457,2.83618006
stationary phase,off,off,140.6732035,22.33894315,0.863612089,18.40035904,41.26937669,0.166182684,1.931161491,2.753064651
stationary phase,off,off,136.2395,19.47774898,0.645615582,18.58384375,47.10954966,0.228324655,1.357637339,2.692995737
stationary phase,on,off,81.36032483,21.41637735,0.250147301,7.237391622,46.47019543,0.216489888,1.025234256,4.226291169
stationary phase,on,off,75.48428112,18.33066391,0.266018838,6.19806738,49.96527746,0.105558122,0.824823628,3.024271009
stationary phase,on,off,101.1004071,5.644671176,0.423077561,5.731820689,39.122866,0.160885109,2.385351582,3.420138849
stationary phase,on,off,72.16189086,19.99088803,0.362849526,7.241425281,44.62193078,0.157013994,0.857969322,4.627025214
stationary phase,off,on,113.5553294,21.95765018,0.856082367,14.79272881,42.63676391,0.148820702,1.766674469,3.228272807
stationary phase,off,on,115.735333,20.12848454,0.531601578,15.50651344,53.89191701,0.194378748,1.395794911,2.741012624
stationary phase,off,on,131.4568272,18.28080417,0.353633239,19.0409221,51.24579923,0.100857965,0.862191517,3.155637725
stationary phase,off,on,105.5922781,21.29118367,0.830051615,13.62396679,48.62646231,0.265143047,1.952913818,3.65868665
stationary phase,on,on,79.87327023,3.832804161,0.364000109,4.368189589,36.57605645,0.185182885,1.897860026,3.558465676
