lab,subid,trial_type,stimulus,trial_num,looking_time,total_trial_time,trial_error,trial_error_type,method,ra,age_days,trial_order,session_error,session_error_type,notes,second_session,lang_group,lang1,lang1_exposure,lang2,lang2_exposure,lang3,lang3_exposure,caregiver_seat,macarthur_ladder,parenta_gender,parenta_education,parentb_gender,parentb_education,preterm,days_preterm,prev_earinfection,curr_earinfection,hearing_vision,hearing_vision_info,cognitive_developmental,cognitive_developmental_info,sib1_age,sib1_gender,sib2_age,sib2_gender,sib3_age,sib3_gender,sib4_age,sib4_gender,tod,season,race_ethnicity,gender,lang4,lang4_exposure,bilingual_nae,bilingual_parenta_nae,bilingual_parentb_nae,bilingual_interview_lang,beard,ratype,childcare,visits,household_size,last_feed_min,last_sleep_min,termtime,popnum,popkm2,subid_unique
bllumanitoba,1327,training,train1,-2.0,3.271,6.227,noerror,,HPP,Kelsey,446.0,3.0,noerror,,,N,monolingual,English,100.0,,,,,caregiver,6.0,F,16.0,F,12,term,,Y,N,N,,N,,,,,,,,,,1000.0,Summer,Caucasian-Filipino,M,,,100.0,regularly,regularly,preferred,no_beard,undergraduate,"Baby stayed at home with mom except for two months, when baby was around eleven months, when baby went to an English daycare fulltime.",,2.0,,,not in session,2239.0,316.0,bllumanitoba:1327
babylabkonstanz,mb13,ADS,ADS4,11.0,,,error,experiment ended early,HPP,Ro,236.0,4.0,noerror,,,N,Monolingual,German,100.0,,,,,caregiver,6.0,F,13.0,M,12,term,,No,No,N,,,,,,,,,,,,,,Caucasian,M,,,,,,,no,MA-student,,,,,,,,,babylabkonstanz:mb13
weltentdeckerzurich,mb13915,training,train2,-1.0,14.41,16.41,noerror,,Eyetracking,Leonie,402.0,3.0,noerror,,mother talked once,N,Monolingual,Swissgerman,100.0,,,,,seat,,M,17,F,17,term,,N,N,N,,N,,3,M,,,,,,,1000,Fall,,M,,,0.0,,,preferred,no_beard,undergraduate,"stays at home, grandmothers look after child 2 daqys per week since age of 13 months",,,,,in session,328268.0,80.0,weltentdeckerzurich:mb13915
wsigoettingen,m322,ADS,ADS7,13.0,3.53,,noerror,,SingleScreen,Ann-Kathrin,305.0,2.0,noerror,,car-seat,N,monolingual,German,100.0,,,,,seat,,F,21,M,17.0,term,,N,N,N,,N,,3.0,F,,,,,,,,,,F,,,,,,,,,,,,,,,,,wsigoettingen:m322
pocdnorthwestern,mb3,ADS,ADS4,9.0,3.66702,5.917,noerror,,Eyetracking,Brooke,367.0,2.0,noerror,,accidentally labeled it MB_02,N,Monolingual,English,90.0,Chinese,10.0,,,caregiver,8.0,M,18,F,18,term,,No,No,N,,N,,15,F,12,M,12,M,,,,Summer,Caucasian and Asian,F,,,,,,,no_beard,postgraduate,,,,,,not in session,,,pocdnorthwestern:mb3
infantllmadison,mb051,IDS,IDS5,10.0,8.519,10.533,noerror,,HPP,MM,294.0,1.0,noerror,,,N,monolingual,English,95.0,ASL,5.0,,,caregiver,6.0,M,18.0,F,18.0,term,,N,N,N,,N,,,,,,,,,,1400.0,Summer,White,M,,,,,,,no_beard,undergraduate,,,,,,not in session,4202.0,85.0,infantllmadison:mb051
irlconcordia,mb12s42,ADS,ADS8,15.0,0.0,4.03,error,experimenter began trial too early,eyetracking,JA,398.0,1.0,noerror,,,N,monolingual,english,100.0,french,1.0,,,caregiver,7.0,F,20.0,M,13.0,term,,Y,N,N,,N,,2,M,,,,,,,1230.0,spring,european,M,,,100.0,regularly,regularly,preferred,,undergraduate,stays at home with mom and once a week has a babysitter,,3.0,30,180,not in session,,,irlconcordia:mb12s42
babylabbrookes,mb60,ADS,ADS8,16.0,2.62,,noerror,,Single Screen,N1,375.0,3.0,noerror,,Very good,N,Monolingual,English,100.0,,,,,caregiver,,F,18.0,M,20,term,,No,No,N,,N,,11,F,9.0,M,5.0,FALSE,,,,,,M,,,,,,,no_beard,postgraduate,Family,,,,,,,,babylabbrookes:mb60
babylableiden,mb08b,ADS,ADS5,1.0,4.04,6.16,noerror,,HPP,Anna,291.0,4.0,noerror,,The baby participated with a silencer in the mouth in most of the trials,N,Monolingual,Dutch,95.0,English,5.0,,,caregiver,,M,18.0,F,17,term,,N,N,N,,N,,,,,,,,,,,,,M,,,,,,,,undergraduate,guest parent - 3 days a week; grandparents - 1 time in 2 weeks,,,,,,,,babylableiden:mb08b
bounbcl,mb127,IDS,IDS7,4.0,1.8,4.44,noerror,,SingleScreen,Didar,403.0,3.0,noerror,,Looked less overall,N,Monolingual,Turkish,95.0,English,5.0,,,caregiver,8.0,F,15.0,M,15,term,,No,No,No,,No,,,,,,,,,,1130.0,Winter,,M,,,,,,,no_beard,graduate,Grand mother and mom,Everyday,2.0,60.0,,not in session,297.679,55.0,bounbcl:mb127
babylabutrecht,601,IDS,IDS3,6.0,14.685671,17.999366,noerror,,HPP,MM,186.0,1.0,noerror,,parent put off headphones beginning trial 11,N,Monolingual,Dutch,100.0,,,,,caregiver,6.5,F,16.0,,15,term,-15.0,N,,N,,N,,,,,,,,,,1311.0,Fall,,F,,,,,,,,undergrad,daycare,,,,,,,,babylabutrecht:601
purdueinfantspeech,4288,IDS,IDS8,16.0,,,error,fussed,HPP,RAZ,407.0,1.0,1,fussed out,,N,monolingual,English,100.0,,,,,caregiver,,F,12,M,12,full,0.0,0,No,N,,N,,3.5,M,,,,,,,,,White,M,,,,,,,,Graduate,,,,,,,,,purdueinfantspeech:4288
babylabnijmegen,ba1169,training,train2,-2.0,17.68,1802.0,noerror,,HPP,KM,255.0,4.0,noerror,,,N,monolingual,Dutch,100.0,,,,,caregiver,7.0,F,18.0,M,22,term,,N,N,N,,N,,4,B,,,,,,,1245,"fall,,,",,F,,,,,,,,,,,,,,,,,babylabnijmegen:ba1169
escompicbsleipzig,mb13,IDS,IDS5,10.0,2.05,18.0,noerror,,Eyetracking,Max,137.0,1.0,noerror,,no interest in checkerboard at all,N,Monolingual,German,100.0,,,,,caregiver,,F,17,M,16,term,,No,No,N,,N,,,,,,,,,,,Winter,,M,,,,,,,beard,undergraduate,undergraduate,,,,,,,,escompicbsleipzig:mb13
ethosrennes,eo182,IDS,IDS7,14.0,1.04,6.35,noerror,,Eyetracking,Chloe,174.0,2.0,noerror,,,N,monolingual,french,100.0,,,,,seat,,F,17,M,14,term,,N,N,N,,N,,10,F,,,,,,,1600.0,Spring,,F,,,,,,,no_beard,undergraduate,at home,,,1899-12-31 01:00:00,1899-12-31 02:00:00,,,,ethosrennes:eo182
ethosrennes,kb850,IDS,IDS7,13.0,0.06,6.98,error,equipment failure,Eyetracking,Chloe,206.0,1.0,error,equipment failure,baby got too close to the eyetracker,N,monolingual,french,100.0,,,,,caregiver,,F,17.0,M,17.0,term,,N,N,N,,N,,3,M,,,,,,,1100.0,Spring,,M,,,,,,,no_beard,undergraduate,at home,,,1899-12-31 03:00:00,1899-12-31 00:30:00,,,,ethosrennes:kb850
escompicbsleipzig,mb15,ADS,IDS6,14.0,,,error,experiment ended early,Eyetracking,Max,159.0,4.0,error,language exclusion,calm during welcoming; very fussy from the beginning of the experiment; often tries to pull on the mothers hair,N,Bilingual,German,60.0,Polish,40.0,,,caregiver,,F,16,M,16,term,,No,No,N,,N,,,,,,,,,,,Winter,,F,,,,,,,beard,undergraduate,undergraduate,,,,,,,,escompicbsleipzig:mb15
infantstudiesubc,mbm5,IDS,IDS6,12.0,6.2062,10.3103,noerror,,Headturn,Alexis,213.0,1.0,noerror,,"Baby leaned against dad the entire study, often eyes would move but head would remain stationary; Trial 7 coding questionable",N,Monolingual,English,99.0,Other,0.0,,,Caregiver,,F,16.0,M,14.0,Term,,N,N,N,N,N,N,,,,,,,,,,,East Asian/Caucasian,F,,,,,,,,Graduate,,,,,,,229651.0,78.0,infantstudiesubc:mbm5
udssaarland,14,IDS,IDS-1,7.0,4.2990098,6.3153107166,noerror,,SingleScreen,Exp2,199.0,4.0,noerror,,,N,monolingual,German,100.0,,,,,caregiver,7.0,M,10,F,10,term,,Y,N,N,,N,,,,,,,,,,,,,M,,,,,,,,,,,,,,,,,udssaarland:14
infantllmadison,mb031,ADS,ADS8,16.0,3.303,5.319,noerror,,HPP,SO,391.0,2.0,noerror,,portable eyetracker was mounted underneath the center monitor (typically removed) but this did not cause any noticeable distraction,N,monolingual,English,100.0,,,,,caregiver,6.0,M,14.0,F,18.0,term,,N,N,N,,N,,,,,,,,,,930.0,Summer,White,F,,,,,,,no_beard,other,,,,,,not in session,32451.0,85.0,infantllmadison:mb031
chosunbaby,h95o39,training,train2,-1.0,16.541,16.541,noerror,,HPP,KIM,437.0,1.0,noerror,,,N,monolingual,Korean,100.0,,,,,caregiver,,F,16,M,16,term,,no,no,N,,N,,,,,,,,,,,Spring,Asian,F,,,,,,,no_beard,undergraduate,,,,,,,,,chosunbaby:h95o39
ldlottawa,mbms52,IDS,IDS4,7.0,3.52,6.3233,noerror,,single screen,Angeline,146.0,1.0,error,Participant,infant played with bib for many trials,N,Monolingual,English,100.0,,,,,Caregiver,,M,21,F,17,term,,N,N,N,N,N,N,5,F,,,,,,,,spring,,M,,,,,,,no_beard,postgraduate,,,,,,in session,,,ldlottawa:mbms52
babylabuclajohnson,10182,IDS,IDS2,9.0,7.74,10.39,noerror,,Eyetracking & Online Coding,SB,406.0,4.0,noerror,,,N,Monolingual,English,100.0,Spanish,0.0,,,Caregiver,7.0,F,18.0,M,18,Term,,N,N,N,,N,,,,,,,,,,,,Caucasian,F,,,,,,,,,,,,,,,,,babylabuclajohnson:10182
babylabnijmegen,ba32912,ADS,ADS7,3.0,5.01,828.0,noerror,,HPP,MK,334.0,3.0,noerror,,,N,monolingual,Dutch,99.0,English,1.0,,,caregiver,6.0,M,13.0,F,15.5,term,,N,N,N,,N,,2,F,,,,,,,1000,"spring,,,",,M,,,,,,,,,,,,,,,,,babylabnijmegen:ba32912
babylabnijmegen,ba18912,IDS,IDS7,4.0,8.48,1158.0,noerror,,HPP,KM,287.0,3.0,noerror,,teeth may be painful,N,monolingual,Dutch,100.0,,,,,caregiver,5.0,F,15.0,,15,term,,N,N,N,,N,,7,M,5.0,F,,,,,1100,"winter,,,",,M,,,,,,,,,,,,,,,,,babylabnijmegen:ba18912
lancaster,8mb13,training,train1,-2.0,3.96,18.0,noerror,,Eyetracking,Charlotte,267.0,2.0,noerror,na,na,n,monilingual,English UK,100.0,na,0.0,na,0.0,caregiver,,f,16.0,m,11,0,0.0,na,,na,na,,,,,,,,,,,,,White British,f,na,0.0,,,,,,,,,,,,,,,lancaster:8mb13
cfnuofn,cfn025,ADS,ADS6,14.0,0.0,17.1,noerror,,Eyetracking,OliviaW,190.0,3.0,noerror,,,Y,Monolingual,English,100.0,,,,,seat,,F,20,M,12,Preterm,14.0,no,no,no,,no,,,,,,,,,,1030.0,Spring,,F,,,,regularly,regularly,preferred,no_beard,postgraduate,,,,,,in session,72145.0,47.0,cfnuofn:cfn025
lscppsl,1lscppsl,ADS,ADS3,7.0,2145.0,4324.0,noerror,,Eyetracking,Naomi,437.0,1.0,noerror,,fussy (left in middle),N,bilingual,french,65.0,arabic,30.0,english,5.0,caregiver,,M,17,F,16,term,,Y,N,N,,N,,,,,,,,,,9h30,winter,,M,,,5.0,rarely,,french,no_beard,postgraduate,"During weekdays, he is at daycare from 8h30 to 17h30",20,2.0,2h00,2h30,in session,2642462.0,1932235.0,lscppsl:1lscppsl
earlysocogfm,s20,ADS,ADS4,12.0,3.27,5.45,noerror,,ET,TF & HRL,300.0,3.0,noerror,,,N,monolingual,english,99.0,french,1.0,,,caregiver,,F,bachelor’s degree,M,bachelor’s degree,term,,N,N,N,,N,,2,F,,,,,,,,summer,white,F,,,,,,,no_beard,undergraduate,,,,,,not in session,,,earlysocogfm:s20
baldwinlabuoregon,mb05,IDS,IDS-2,12.0,2.657406017,4.657409715,noerror,,single screen,JK,294.0,3.0,noerror,,,N,monolingual,English,90.0,Spanish,10.0,,,seat,,F,16.0,M,16,preterm,8.0,N,N,N,,N,,,,,,,,,,1000.0,Spring,,M,,,,,,,no_beard,graduate,,,,,,in session,,,baldwinlabuoregon:mb05
babylabparisdescartes1,lpp17o41,IDS,finalIDS8new,16.0,0.0,17.999,noerror,,HPP,Katie,382.0,4.0,,,,N,Monolingual,French,90.0,English,10.0,,,caregiver,,M,15.0,F,14,term,,No,No,N,,N,,,,,,,,,,1530,Summer,,F,,,,,,,no_beard,postgraduate,,,,,,,,,babylabparisdescartes1:lpp17o41
babylabkonstanz,mb05,IDS,IDS5,10.0,3.91,6.41,noerror,,HPP,Jo,210.0,1.0,noerror,,,N,Monolingual,German,100.0,,,,,caregiver,6.0,F,13.0,M,10,term,,No,No,N,,,,,,,,,,,,,,Caucasian,F,,,,,,,no,MA-student,,,,,,,,,babylabkonstanz:mb05
bllumanitoba,4718,IDS,IDS8,16.0,2.943,4.953,noerror,,HPP,Kelsey,284.0,1.0,noerror,,"Squirmy baby, but codable.",N,monolingual,English,96.0,French,4.0,,,caregiver,7.0,F,16.0,M,17,term,,N,N,N,,N,,3.0,M,,,,,,,1100.0,Summer,Caucasian,M,,,96.0,regularly,regularly,preferred,no_beard,undergraduate,Baby stays home with mom.,,3.0,,,not in session,197478.0,77.0,bllumanitoba:4718
pocdnorthwestern,mb16,ADS,ADS1,4.0,1.987,3.751,noerror,,Eyetracking,Brooke,410.0,1.0,noerror,,squirmy,N,Monolingual,English,100.0,,,,,caregiver,7.0,F,16,M,16,term,,No,No,N,,N,,7,M,,M,3,M,,,,Fall,Asian and Native Hawaiian or Other Pacific Islander,F,,,,,,,no_beard,postgraduate,,,,,,in session,,,pocdnorthwestern:mb16
udssaarland,7,ADS,ADS-5,12.0,3.1490449905,5.1675181389,noerror,,SingleScreen,Exp1,232.0,2.0,noerror,,,N,monolingual,German,100.0,,,,,caregiver,,,,,,term,,N,N,N,,N,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,udssaarland:7
purdueinfantspeech,4269,IDS,IDS6,14.0,2.85,4.85,noerror,,HPP,GK,323.0,4.0,noerror,,,N,monolingual,English,100.0,,,,,caregiver,,F,16,M,16,PreTerm,28.0,0,No,N,,N,,,,,,,,,,,,white,M,,,,,,,,Graduate,,,,,,,,,purdueinfantspeech:4269
udssaarland,19,ADS,ADS-6,13.0,2.9687960148,4.9874370098,noerror,,SingleScreen,Exp1,328.0,1.0,noerror,,,N,monolingual,German,100.0,,,,,caregiver,5.0,F,10,M,10,term,,N,N,N,,N,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,udssaarland:19
cdcceu,mb29,,,11.0,,,,,Eyetracking,"Mikolaj,Zsu",401.0,4.0,noerror,,"Mikolaj without beard. Zsu is a full-time employed RA, Mikolaj run the experiment. Zsu talked to the mum, gathered questionnaire data.",N,Monolingual,Hungarian,98.0,English,2.0,,,caregiver,,F,17,M,18,N,,N,N,N,,N,,2,M,,,,,,,1000.0,Winter,,F,,,2.0,rarely,,preferred,no_beard,other,"Usually with mother. Sometimes, for 2-3 hrs: father, a grandmother, or one of the babysitters.",10,3.0,90,120,,,,cdcceu:mb29
weescienceedinburgh,mb22,ADS,ADS6,12.0,10.2,14.06,noerror,,SingleScreen,Barbora,201.0,2.0,noerror,,great participant but session not recorded (failed PC),N,monolingual,English,100.0,,,,,caregiver,,F,18,M,18,term,,No,No,N,,N,,7,M,5,M,,,,,,,,Female,,,,,,,,,,,,,,,,,weescienceedinburgh:mb22
kokuhamburg,mb19,IDS,IDS8,15.0,2.24,,error,too fussy/ restless,Eyetracking,Sven,248.0,2.0,noerror,,,N,Monolingual,German,95.0,English,5.0,,,caregiver,,F,13.0,M,16.0,term,7.0,No,No,N,,N,,,,,,,,,,,,,M,,,,,,,,,,,,,,,,,kokuhamburg:mb19
cogdevlabbyu,p04,training,train1,-1.0,16.2,16.2,noerror,,eye-tracking,"Rachael A., Calvin N.",187.0,3.0,noerror,,Trial 2,N,monolingual,English,100.0,,,,,caregiver,6.0,F,14,M,14,Y,1.0,N,N,N,,N,,,,,,,,,,,,White,M,,,,,,,,,,,,,,,,,cogdevlabbyu:p04
ldlottawa,mbms53,training,train2,-1.0,12.02,14.13,noerror,,single screen,Angeline,241.0,2.0,noerror,,,N,Monolingual,English,100.0,,,,,Caregiver,,F,,M,,term,,N,N,N,N,N,N,3,M,,,,,,,,spring,,F,,,,,,,no_beard,postgraduate,,,,,,in session,,,ldlottawa:mbms53
wsigoettingen,m115,training,training,-2.0,17.61,,error,parent inteference,SingleScreen,Natalie,157.0,3.0,noerror,,"lap, was crying, father pointed at screen & asked for soother while testing",N,monolingual,German,100.0,,,,,caregiver,,M,17,F,17,term,0.0,N,N,N,,N,,3,M,,,,,,,,,,F,,,,,,,,,,,,,,,,,wsigoettingen:m115
purdueinfantspeech,4210,ADS,ADS2,10.0,2.15,4.64,noerror,,HPP,RAZ,476.0,4.0,0,,,N,monolingual,English,90.0,French,10.0,,,caregiver,,F,16,M,12,PreTerm,18.0,2,No,N,,N,,,,,,,,,,,,White,M,,,,,,,,Graduate,,,,,,,,,purdueinfantspeech:4210
infantllmadison,mb020,IDS,IDS6,14.0,,,error,experiment ended early,HPP,MM,420.0,4.0,noerror,,baby fussed out on trial 11,N,monolingual,English,100.0,,,,,caregiver,6.0,F,16.0,M,18.0,term,,Y,N,N,,N,,2,F,,,,,,,930.0,Summer,White,F,,,,,,,no_beard,undergraduate,,,,,,not in session,4225.0,98.0,infantllmadison:mb020
langlabucla,mb925,IDS,IDS-5,10.0,12.384,15.039,noerror,,HPP,VM,293.0,1.0,noerror,,,N,monolingual,English,100.0,,,,,caregiver,,M,18,F,18,term,,Y,Y,N,,N,,3,F,,,,,,,,,Asian,M,,,,,,,,,,,,,,,,,langlabucla:mb925
kokuhamburg,mb34,,,6.0,,,error,software issues,Eyetracking,Sven,274.0,,error,"software issues, no data collected",,N,Monolingual,German,100.0,,,,,caregiver,,F,20,M,16,term,,No,No,N,,N,,7,M,,,,,,,,,,F,,,,,,,,,,,,,,,,,kokuhamburg:mb34
chosunbaby,h14y11,IDS,IDS2,10.0,4.591,4.591,error,infant too old,HPP,NAM,296.0,1.0,noerror,,over 9 months,N,monolingual,Korean,100.0,,,,,caregiver,,F,16,M,22,term,,no,no,N,,N,,,,,,,,,,,Summer,Asian,M,,,,,,,no_beard,postgraduate,,,,,,,,,chosunbaby:h14y11
ileap,e48s004,ADS,ADS2,3.0,10.967,10.967,noerror,,Preference,Tully,425.0,1.0,noerror,,,N,Monolingual,English,100.0,,,,,high chair,,F,18.0,M,18.0,Term,,no,,N,,N,,,,,,,,,,,,Caucasian,M,,,,,,,,undergraduate,,,,,,,,,ileap:e48s004
bllumanitoba,1470,ADS,ADS3,7.0,5.455,7.461,noerror,,HPP,Kelsey,336.0,3.0,noerror,,"Baby did not want to look as much in second half, so dad would shift baby to sit up straight during center blinking light on some trials.",N,monolingual,English,100.0,,,,,caregiver,7.0,M,14.0,F,16,term,,N,N,N,,N,,3.0,F,,,,,,,1100.0,Summer,Caucasian,F,,,100.0,regularly,regularly,preferred,no_beard,undergraduate,Baby stays home with dad. For first six months mom was home instead of dad.,,3.0,,,not in session,184744.0,78.0,bllumanitoba:1470
babylabplymouth,mb1205,IDS,IDS4,7.0,3.39,8.1,noerror,,HPP,Abbey,370.0,1.0,noerror,,,N,monolingual,english,100.0,,,,,caregiver,5.0,F,16.0,M,14,term,1.0,N,N,N,,N,,7,M,,,,,,,,Summer,british,F,,,,,,,no_beard,undergraduate,,,,,,not in session,,,babylabplymouth:mb1205
bchdosu,mb0022,ADS,ADS4,12.0,8.16,10.161,noerror,,SingleScreen,YW,440.0,3.0,noerror,,a little fussy,N,Monolingual,English,100.0,,,,,caregiver,4.0,F,12.0,M,12.0,term,,No,No,N,,N,,,,,,,,,,,Spring,Caucasian,M,,,,,,,no_beard,postgraduate,,,7.0,,,in session,,,bchdosu:mb0022
bcrlunlv,mb1204,training,Train1,-1.0,16.4,18.0,error,preterm,SingleScreen,YR,454.0,4.0,error,preterm,,N,monolingual,English,100.0,,,,,caregiver,,F,16.0,M,18,preterm,28.0,Y,N,N,,N,,17.0,M,5,M,,,,,,Summer,Caucasian,M,,,,,,,no_beard,undergraduate,,,,,,,,,bcrlunlv:mb1204
bchdosu,mb0062,IDS,IDS1,2.0,6.4,8.401,noerror,,SingleScreen,DR,430.0,2.0,noerror,,started crying towards the end,N,Monolingual,English,100.0,,,,,caregiver,7.0,F,15.0,M,16.0,term,,5.0,No,N,,N,,9.8,5.1,,,,,,,,Spring,Black/African American and White,M,,,,,,,no_beard,postgraduate,,,5.0,,,in session,,,bchdosu:mb0062
bchdosu,mb0020,IDS,IDS3,8.0,7.088,9.872,noerror,,SingleScreen,DR,262.0,3.0,noerror,,ok,N,Monolingual,English,100.0,,,,,caregiver,7.0,F,14.0,M,16.0,term,,No,No,Y,Mother wears corrective lens,N,,,,,,,,,,,Spring,Caucasian,F,,,,,,,no_beard,postgraduate,,,3.0,,,in session,,,bchdosu:mb0020
lllliv,mb036,IDS,IDS1,5.0,5.194,7.988,,,Eyetracking,Anna,476.0,4.0,error,tested when too old,was given food halfway through session,N,monolingual,English,99.0,French,1.0,,,seat,,F,17,M,21,term,,No,No,N,,N,,5,F,3.0,M,,,,,1000,Summer,White british/ Irish,M,,,,,,,no_beard,undergraduate,,,,,,not in session,,,lllliv:mb036
babylableiden,mb16b,IDS,IDS4,12.0,2.61,5.81,noerror,,HPP,Anna,276.0,4.0,noerror,,,N,Monolingual,Dutch,100.0,,,,,caregiver,7.0,F,24.0,M,18,term,,N,N,N,,N,,2,M,,,,,,,,,"Surinamese Hindu, Swiss German-Dutch",F,,,,,,,,undergraduate,daycare - 3 days a week,,,,,,,,babylableiden:mb16b
lscppsl,7lscppsl,training,training,1.0,16129.0,18000.0,noerror,,Eyetracking,Naomi,369.0,3.0,noerror,,"first two expermetal trial looking for the women talking, The first training trial longer than 18 sec",N,bilingual,french,60.0,polish,40.0,,,caregiver,,F,17,M,17,term,,N,N,N,,N,,3,M,,,,,,,9h40,winter,,M,,,0.0,,,french,no_beard,postgraduate,"Breakfast with his mom (dad is already at work), daycare during the day, picked up by a nanny for an hour and a half (together with sister), then evening with his mom and sister, In the best of cases, he does not see his father until he goes to bed.",4,,1h30,2h00,in session,2642462.0,1932235.0,lscppsl:7lscppsl
babylabnijmegen,ba2969,IDS,IDS4,8.0,6.21,972.0,noerror,,HPP,MK,214.0,2.0,noerror,,,N,monolingual,Dutch,100.0,,,,,caregiver,8.0,F,17.0,M,17,term,,N,N,N,,N,,,,,,,,,,1300,"winter,,,",,F,,,,,,,,,,,,,,,,,babylabnijmegen:ba2969
babylablmu,8,ADS,ADS1,6.0,0.58,8896.0,noerror,,Eyetracking,Alyssa,371.0,4.0,error,language exclusion,language exclusion,N,Bilingual,German,20.0,English,50.0,Cantonese,30.0,caregiver,6.0,M,16,F,18,term,,No,No,N,,N,,,,,,,,,,,,,M,,,,,,,,,,,,,,,,,babylablmu:8
